source,content,label
email,From: updates@sbfluorochem.com | Subject: Your weekly digest | Here's your weekly roundup of top content: sbfluorochem.com/ See you next week!,legitimate
email,From: hello@highperformancepontiac.com | Subject: Welcome aboard | Welcome! We're glad to have you. Explore our resources here: highperformancepontiac.com/featuredvehicles/index.html Reach out anytime if you need help.,legitimate
sms,"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?",legitimate
email,"From: admin@account-verify-team.net | Subject: Urgent: Unauthorized transaction detected | We detected an unauthorized transaction of $389.00 on your account. If you did not authorize this transaction, please review your account immediately: https://casinosoft.vip/php/arg/index.php?https://hb.redlink.com.ar/bna/login.htm Ignore this if you recognize the charge.",phishing
email,From: team@local.yahoo.com | Subject: New content available | We just published something you might like. Take a look: local.yahoo.com/info-14696093-bob-sykes-barbeque-incorporated-bessemer Thanks for being part of our community.,legitimate
email,"From: service@secure-login-portal.net | Subject: Confirm your email address | Hi, Please confirm your email address to continue using our services. Click the link below: http://autoscout24.de-anfrage-id-729453.tilexhome.com/page2.html If you did not create an account, someone may be using your email.",phishing
sms,+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50,phishing
sms,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk",phishing
sms,But i dint slept in afternoon.,legitimate
sms,Me n him so funny...,legitimate
email,"From: billing@update-billing-info.com | Subject: Invoice #INV-2026-4839 attached | Dear user, Your latest invoice is ready. Amount due: $129.00. Review and pay your invoice here: https://storage.googleapis.com/update-securities20420.appspot.com/%2525%2525%2525%2525%2525%2525/login.html#test@fairpoint.net Please pay within 7 days to avoid late fees.",phishing
email,"From: info@secure-login-portal.net | Subject: Your account will be deactivated | Notice: Your account is scheduled for deactivation due to inactivity. To keep your account active, please log in and verify your details: http://www.naylorantiques.com/page=6177/entryID=6315/mlu4o6pbb7v215k8qnpbrjbaettobyxcup2/ This is your final notice.",phishing
email,"From: security@secure-alerts-center.com | Subject: Unusual login detected on your account | Dear user, We detected a sign-in attempt from an unrecognized device. Please verify your identity immediately: scholar.lib.vt.edu/theses/available/etd-111297-153911/unrestricted/alex.pdf If this wasn't you, secure your account now.",phishing
email,"From: newsletter@artistopia.com | Subject: Check out what's new this week | Hi there, Here's what's trending this week on our site. Check it out: artistopia.com/Sonny Happy browsing!",legitimate
sms,"When you get free, call me",legitimate
sms,K..k..i'm also fine:)when will you complete the course?,legitimate
sms,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,phishing
email,From: info@imperialmarketingltd.com | Subject: Thanks for visiting | Thank you for visiting our website. You can find more information at: imperialmarketingltd.com/ Let us know if you have any questions.,legitimate
sms,Is xy going 4 e lunch?,legitimate
sms,"Think ur smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",phishing
email,"From: no-reply@notification-service-alert.com | Subject: Your account has been temporarily limited | Dear Customer, We noticed suspicious activity on your account. Your access has been limited until you confirm your information. Click here to restore access: http://fb.com.accounts.login.userid.379987.fbsbk.com/ Failure to verify within 24 hours will result in account suspension.",phishing
email,"From: support@payment-review-center.org | Subject: Action Required: Verify your payment method | Hello, Your recent payment could not be processed. Please update your billing information to avoid service interruption: http://transferaccountant.com/wp-content/plugins/dup/systeme/securedID/renew/information-IDP09470394895893493848374/SolvingAcc/resolvedTM/with-a/Ppluser/update2020user/Help/teams/PPL0293920USER/Up/PPL/IN/V/DelP/P/OK/set-up/ Thank you for your prompt attention.",phishing
email,From: updates@digiclipsinc.com | Subject: Your weekly digest | Here's your weekly roundup of top content: digiclipsinc.com/canadianmarkets.htm See you next week!,legitimate
email,"From: alerts@payment-review-center.org | Subject: Important: Password reset requested | Someone requested a password reset for your account. If this was you, click here to proceed: http://fareast.qa/wp/onedrive/b94194dfc4e4db2c2a7f23f56998eb38 If you did not request this, your account may be compromised. Act immediately.",phishing
sms,I miss you so much I'm so desparate I have recorded the message you left for me the other day and listen to it just to hear the sound of your voice. I love you,legitimate
sms,Thank you. I like you as well...,legitimate
sms,"Our dating service has been asked 2 contact U by someone shy! CALL 09058091870 NOW all will be revealed. POBox84, M26 3UZ 150p",phishing
email,"From: noreply@support-helpdesk-online.com | Subject: You have a pending refund | Dear valued customer, A refund of $47.99 is pending for your account. To process your refund, please confirm your details here: http://www.mitraalam.or.id/wealthy/wealth/c6e08520e92a8dcbf3613707bbae3b73/ This link expires in 12 hours.",phishing
email,From: hello@d20pfsrd.com | Subject: Welcome aboard | Welcome! We're glad to have you. Explore our resources here: d20pfsrd.com/classes/core-classes/cleric Reach out anytime if you need help.,legitimate
sms,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",phishing
sms,"Actually, my mobile is full of msg. And i m doing a work online, where i need to send them  &lt;#&gt;  sent msg i wil explain u later.",legitimate
sms,FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242,phishing
email,From: team@readinggroupguides.com | Subject: New content available | We just published something you might like. Take a look: readinggroupguides.com/guides3/jesus_land1.asp Thanks for being part of our community.,legitimate
sms,FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts,phishing
sms,IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!,phishing
email,"From: helpdesk@support-helpdesk-online.com | Subject: Your package could not be delivered | We attempted to deliver your package but were unable to reach you. Please confirm your shipping address to reschedule delivery: http://paypal.com-service.confirm.cgi-bin.webscr-cmd.login.submit.new-load.5885d80a13c0db1f8e263663d3faee8dcbc13c0db1f8e26load.5885d800db1f8e26load.5885d800db1f8e26load.5885d76.forresttoolanddie.com/PayPal/ If not resolved in 48 hours, the package will be returned.",phishing
sms,Hi here. have birth at on the  to  at 8lb 7oz. Mother and baby doing brilliantly.,legitimate
email,"From: newsletter@celebgalz.com | Subject: Check out what's new this week | Hi there, Here's what's trending this week on our site. Check it out: celebgalz.com/lorraine-tighe-lorraine-tighes-swinger-story-photos/ Happy browsing!",legitimate
email,"From: admin@secure-login-portal.net | Subject: Urgent: Unauthorized transaction detected | We detected an unauthorized transaction of $389.00 on your account. If you did not authorize this transaction, please review your account immediately: saldao.com.br-smartphone-motorola-moto-g6-5-5.mixh.jp Ignore this if you recognize the charge.",phishing
email,From: info@wesleyberryflowers.com | Subject: Thanks for visiting | Thank you for visiting our website. You can find more information at: wesleyberryflowers.com/flowers_universal_city_CA.html Let us know if you have any questions.,legitimate
sms,FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!,phishing
email,From: updates@wn.com | Subject: Your weekly digest | Here's your weekly roundup of top content: wn.com/Nizhny_Novgorod See you next week!,legitimate
email,From: hello@spiritus-temporis.com | Subject: Welcome aboard | Welcome! We're glad to have you. Explore our resources here: spiritus-temporis.com/phyllis-diller/ Reach out anytime if you need help.,legitimate
email,"From: service@secure-alerts-center.com | Subject: Confirm your email address | Hi, Please confirm your email address to continue using our services. Click the link below: https://www.cedemex.cl/citibank.com/US/surf3.php If you did not create an account, someone may be using your email.",phishing
sms,Or maybe my fat fingers just press all these buttons and it doesn't know what to do.,legitimate
email,"From: billing@customercare-portal.org | Subject: Invoice #INV-2026-4839 attached | Dear user, Your latest invoice is ready. Amount due: $129.00. Review and pay your invoice here: http://services-runescape-com-css-forum.totalh.net/sl=0-forums.ws.14,15,437,63859515.html Please pay within 7 days to avoid late fees.",phishing
email,"From: info@customercare-portal.org | Subject: Your account will be deactivated | Notice: Your account is scheduled for deactivation due to inactivity. To keep your account active, please log in and verify your details: http://paypal.us.xn-----vldfgifeq7dua2hckj.net/webscr.php This is your final notice.",phishing
email,"From: security@support-helpdesk-online.com | Subject: Unusual login detected on your account | Dear user, We detected a sign-in attempt from an unrecognized device. Please verify your identity immediately: paypal-com-add-carte-to-account-limited.zwagezz.com If this wasn't you, secure your account now.",phishing
email,"From: no-reply@payment-review-center.org | Subject: Your account has been temporarily limited | Dear Customer, We noticed suspicious activity on your account. Your access has been limited until you confirm your information. Click here to restore access: online-banking.mobile.go.mambanetworksolutions.com Failure to verify within 24 hours will result in account suspension.",phishing
email,"From: support@support-helpdesk-online.com | Subject: Action Required: Verify your payment method | Hello, Your recent payment could not be processed. Please update your billing information to avoid service interruption: http://ctara.org/sevaforu.com/worker/img/253035631973/spravka/white-papers.php/nbd/hbs Thank you for your prompt attention.",phishing
sms,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,legitimate
sms,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04,phishing
sms,I will be outside office take all from there,legitimate
email,From: team@myspace.com | Subject: New content available | We just published something you might like. Take a look: myspace.com/thephenomenauts Thanks for being part of our community.,legitimate
email,"From: newsletter@gotickets.com | Subject: Check out what's new this week | Hi there, Here's what's trending this week on our site. Check it out: gotickets.com/seating_charts/football/arrowhead_stadium.php Happy browsing!",legitimate
sms,"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP.",phishing
sms,You are a very very very very bad girl. Or lady.,legitimate
sms,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,phishing
sms,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0,phishing
sms,Jus finish watching tv... U?,legitimate
sms,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327",phishing
sms,"You've won tkts to the EURO2004 CUP FINAL or £800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",phishing
email,From: info@bordadosdesanluis.com | Subject: Thanks for visiting | Thank you for visiting our website. You can find more information at: bordadosdesanluis.com/pp/ Let us know if you have any questions.,legitimate
email,"From: alerts@alert-notification-center.com | Subject: Important: Password reset requested | Someone requested a password reset for your account. If this was you, click here to proceed: http://us.battle.net.login.en.tu-login.com/login/en/login.html?amp;app=bam&amp;app=wam&amp;eor=0&amp;ref=www.worldofwarcraft.com/account/ If you did not request this, your account may be compromised. Act immediately.",phishing
email,From: updates@openlibrary.org | Subject: Your weekly digest | Here's your weekly roundup of top content: openlibrary.org/books/OL17482129M/p%C3%A9nise See you next week!,legitimate
email,"From: noreply@login-security-dept.com | Subject: You have a pending refund | Dear valued customer, A refund of $47.99 is pending for your account. To process your refund, please confirm your details here: http://www.northlakeestate.com/~real700p/support.update.your.information.account/signup/account/ This link expires in 12 hours.",phishing
sms,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",phishing
sms,U WILL SWITCH YOUR FONE ON DAMMIT!!,legitimate
sms,"You are a £1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE",phishing
sms,+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,phishing
sms,"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money.",legitimate
email,From: hello@canada.com | Subject: Welcome aboard | Welcome! We're glad to have you. Explore our resources here: canada.com/news/person/Conrad+Black/topic.html Reach out anytime if you need help.,legitimate
email,From: team@croonet.com | Subject: New content available | We just published something you might like. Take a look: croonet.com/start/H_NDM1MTIwMQ%3D%3D/ Thanks for being part of our community.,legitimate
sms,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,legitimate
sms,"Call 09094100151 to use ur mins! Calls cast 10p/min (mob vary). Service provided by AOM, just GBP5/month. AOM Box61,M60 1ER until u stop. Ages 18+ only!",phishing
